,지역,처리방식,종류,세부종류,소계,재활용,소각,매립,기타
0,구분(1),구분(2),구분(3),구분(4),발생량,처리량,처리량,처리량,처리량
1,구분(1),구분(2),구분(3),구분(4),소계,재활용,소각,매립,기타
2,전국,합계,소계,소계,16751314.6,9156504.0,5011416.2,2475575.9,107818.5
3,전국,종량제방식 등 혼합배출,소계,소계,8147806.3,896600.7,4792513.8,2387728.8,70963.0
4,전국,종량제방식 등 혼합배출,가연성,소계,6927858.2,813666.5,4432027.0,1628305.2,53859.5
5,전국,종량제방식 등 혼합배출,가연성,폐지류,1873452.9,135802.5,1286870.6,435504.3,15275.5
6,전국,종량제방식 등 혼합배출,가연성,폐합성수지류,1750968.8,240952.3,1087957.3,411708.5,10350.7
7,전국,종량제방식 등 혼합배출,가연성,폐고무류,107296.2,4914.4,80932.9,20903.5,545.4
8,전국,종량제방식 등 혼합배출,가연성,폐섬유류,396048.7,42760.3,270274.2,80823.6,2190.6
9,전국,종량제방식 등 혼합배출,가연성,음식물류 폐기물,523535.9,31254.8,385969.1,103406.9,2905.1
10,전국,종량제방식 등 혼합배출,가연성,폐목재류,446902.0,188547.0,197640.8,54536.4,6177.8
11,전국,종량제방식 등 혼합배출,가연성,기타,1829653.7,169435.2,1122382.1,521422.0,16414.4
12,전국,종량제방식 등 혼합배출,불연성,소계,959725.8,56554.7,311562.1,578646.6,12962.4
13,전국,종량제방식 등 혼합배출,불연성,폐금속류,178206.8,11129.9,86974.4,78625.5,1477.0
14,전국,종량제방식 등 혼합배출,불연성,폐유리류,239808.8,8984.3,111192.6,117740.4,1891.5
15,전국,종량제방식 등 혼합배출,불연성,폐토사류,76362.8,8156.1,15855.7,49766.1,2584.9
16,전국,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,46498.7,4371.6,8445.3,33097.4,584.4
17,전국,종량제방식 등 혼합배출,불연성,연탄재,39982.8,7295.7,6527.8,25802.7,356.6
18,전국,종량제방식 등 혼합배출,불연성,기타,378865.9,16617.1,82566.3,273614.5,6068.0
19,전국,종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),195182.5,23435.0,14198.3,156149.1,1400.1
20,전국,종량제방식 등 혼합배출,기타(배출불명등),소계,65039.8,2944.5,34726.4,24627.9,2741.0
21,전국,재활용 가능자원 분리배출,소계,소계,4127950.4,3923303.4,154369.7,49851.6,425.7
22,전국,재활용 가능자원 분리배출,폐지류,종이팩,16534.5,16534.5,0.0,0.0,0.0
23,전국,재활용 가능자원 분리배출,폐지류,기타,1245134.8,1245134.8,0.0,0.0,0.0
24,전국,재활용 가능자원 분리배출,고철류,소계,146660.1,146660.1,0.0,0.0,0.0
25,전국,재활용 가능자원 분리배출,금속캔,소계,92120.9,92120.9,0.0,0.0,0.0
26,전국,재활용 가능자원 분리배출,폐합성수지류,비닐류,439615.7,439615.7,0.0,0.0,0.0
27,전국,재활용 가능자원 분리배출,폐합성수지류,발포수지류,62222.9,62222.9,0.0,0.0,0.0
28,전국,재활용 가능자원 분리배출,폐합성수지류,PET병,185719.0,185719.0,0.0,0.0,0.0
29,전국,재활용 가능자원 분리배출,폐합성수지류,기타,471651.9,471651.9,0.0,0.0,0.0
30,전국,재활용 가능자원 분리배출,폐고무류,소계,6282.1,6282.1,0.0,0.0,0.0
